362	231138	183	74
363	232059	43	12
364	232253	121	65
365	232932	70	38
366	233357	248	139
367	234573	76	40
368	235007	1775	125
369	240830	622	90
370	242887	320	94
371	244232	1	1
372	244244	13	9
373	244331	98	41
374	244856	71	39
375	245250	3	1
376	245267	42	31
377	245526	1	1
378	245538	2	1
379	245553	74	26
380	245943	92	43
381	246456	30	12
382	246613	37	25
383	246859	43	34
384	247161	79	54
385	247667	4	1
386	247686	40	26
387	247938	1971	73
388	254246	217	108
389	255402	478	108
390	257280	31	24
391	257499	176	52
392	258355	8	8
393	258425	109	48
394	258980	174	83
395	259934	134	27
396	260426	90	56
397	260969	5	4
398	261010	3	2
399	261034	3	3
400	261066	209	63
401	262097	210	70
402	263035	66	41
403	263438	132	65
404	264116	230	93
405	265218	246	119
406	266451	135	57
407	267155	3	3
408	267186	6	6
409	267243	107	53
410	267831	221	80
411	268881	734	81
412	270885	42	33
413	271169	98	44
414	271640	351	127
415	273197	35	24
416	273418	155	80
417	274236	410	96
418	276045	444	18
419	277323	174	48
420	278032	125	72
421	278748	66	28
422	279087	215	103
423	280164	823	83
424	283120	6	3
425	283161	302	103
426	284571	78	47
427	285047	167	67
428	285876	86	22
429	286284	48	28
430	286567	4	4
431	286604	191	80
432	287548	29	13
433	287715	67	44
434	288141	370	142
435	289958	11	10
436	290051	68	35
437	290434	2	2
438	290455	265	92
439	291688	9	4
440	291743	2	2
441	291764	8	6
442	291826	10	7
443	291894	2	2
444	291913	3	3
445	291941	16	11
446	292046	2	1
447	292062	16	13
448	292174	302	78
449	293442	3	3
450	293473	192	83
451	294475	6	6
452	294529	241	93
453	295697	4	4
454	295733	19	11
455	295853	53	21
456	296132	56	22
457	296406	8	6
458	296464	2	2
459	296483	8	3
460	296530	2	2
461	296551	218	86
462	297627	13	8
463	297715	15	12
464	297830	19	7
465	297915	18	13
466	298045	19	16
467	298181	2141	100
468	305088	26	6
469	305207	147	65
470	305990	74	15
471	306294	23	18
472	306459	435	52
473	308220	187	34
474	309022	8	7
475	309094	117	41
476	309661	331	66
477	311030	30	17
478	311227	217	54
